,Mkt-RF,SMB,HML,RMW,CMA,Rf
20130604,-0.55,-0.27,-0.15,0.35,-0.07,2.14
20130605,-1.38,0.04,-0.24,0.15,-0.14,2.10
20130606,0.89,0.18,0.21,-0.52,0.35,2.08
20130607,1.3,-0.44,0.06,-0.28,-0.04,2.17
20130610,0.07,0.66,0.2,-0.23,-0.15,2.22
20130611,-1.04,-0.01,-0.57,0.45,0.01,2.20
20130612,-0.82,0.07,-0.05,0.24,0.18,2.25
20130613,1.47,0.14,0.34,-0.21,0.3,2.19
20130614,-0.59,-0.27,-0.57,0.21,-0.04,2.14
20130617,0.74,-0.07,0.12,-0.23,-0.32,2.19
20130618,0.8,0.37,-0.08,-0.01,0.01,2.20
20130619,-1.28,0.2,0.15,-0.07,-0.31,2.33
20130620,-2.45,0.06,0.4,0.06,-0.15,2.41
20130621,0.13,0.23,-0.07,-0.15,0.14,2.52
20130624,-1.19,0.04,-0.66,0.26,-0.13,2.57
20130625,0.96,0.05,0.81,-0.34,0.3,2.60
20130626,0.92,-0.71,-0.16,0.03,0.18,2.55
20130627,0.77,0.84,0.37,-0.46,0.3,2.49
20130628,-0.33,0.3,-0.13,0.15,-0.3,2.52
20130701,0.71,0.7,-0.12,-0.35,-0.01,2.50
20130702,-0.1,0.02,0.05,0.1,-0.09,2.48
20130703,0.11,0.16,-0.21,0.14,-0.08,2.52
20130705,1.11,0.4,0.47,-0.34,0.17,2.73
20130708,0.53,-0.14,0.04,0.18,0.11,2.65
20130709,0.74,0.05,0.3,-0.01,0.02,2.65
20130710,0.06,0.3,-0.37,-0.07,-0.11,2.70
20130711,1.32,-0.17,-0.66,-0.13,-0.16,2.60
20130712,0.33,-0.04,0.2,-0.67,0.04,2.61
20130715,0.2,0.54,0.33,-0.01,0.09,2.57
20130716,-0.41,0.03,0.09,0.12,0.24,2.55
20130717,0.3,-0.04,0.19,-0.43,0.02,2.52
20130718,0.54,0.13,0.96,-0.17,0.2,2.56
20130719,0.09,-0.13,0.27,-0.34,0.48,2.50
20130722,0.22,0.12,0.33,-0.09,0.08,2.50
20130723,-0.15,0.13,0.3,-0.05,0.26,2.53
20130724,-0.39,-0.28,-0.27,0.67,-0.09,2.61
20130725,0.42,0.49,-0.36,-0.47,-0.22,2.61
20130726,0.02,-0.64,-0.29,0.15,-0.17,2.58
20130729,-0.37,-0.3,-0.31,0.33,-0.15,2.61
20130730,0.12,0.17,-0.5,0.13,-0.06,2.63
20130731,0.09,0.18,0.13,-0.03,-0.08,2.60
20130801,1.4,0.08,0.09,-0.18,-0.15,2.74
20130802,0.2,-0.24,-0.32,-0.02,-0.07,2.63
20130805,-0.07,0.47,-0.15,-0.05,-0.05,2.67
20130806,-0.68,-0.35,-0.1,0.32,-0.05,2.67
20130807,-0.42,-0.38,-0.01,0.33,0.08,2.61
20130808,0.47,-0.01,0.04,-0.01,0.13,2.58
20130809,-0.29,0.12,-0.19,0.14,-0.16,2.57
20130812,-0.02,0.56,-0.23,0.15,-0.07,2.61
20130813,0.2,-0.29,-0.05,0.04,-0.12,2.71
20130814,-0.5,0.14,0.29,-0.03,0.06,2.71
20130815,-1.47,-0.37,0.28,-0.05,0.03,2.77
20130816,-0.26,0.04,0.13,-0.15,-0.13,2.84
20130819,-0.62,-0.26,-0.75,0.6,-0.33,2.88
20130820,0.53,0.87,0.09,-0.32,0.09,2.82
20130821,-0.59,-0.07,-0.43,-0.1,-0.29,2.87
20130822,0.93,0.51,0.07,-0.3,-0.2,2.90
20130823,0.38,-0.27,-0.15,0.11,-0.24,2.82
20130826,-0.29,0.48,-0.48,-0.12,-0.27,2.79
20130827,-1.75,-0.75,-0.34,0.64,0.04,2.72
20130828,0.3,0.11,0.08,0,-0.08,2.78
20130829,0.34,0.76,-0.44,-0.35,-0.25,2.75
20130830,-0.47,-1.15,-0.19,0.01,-0.09,2.78
20130903,0.46,0.05,0.17,-0.49,-0.24,2.86
20130904,0.83,0,-0.18,-0.11,0.07,2.90
20130905,0.19,0.19,0.41,-0.19,-0.06,2.98
20130906,0,-0.01,0.02,-0.17,-0.09,2.94
20130909,1.09,0.43,-0.22,-0.18,-0.15,2.90
20130910,0.8,0.06,0.2,-0.13,0.03,2.96
20130911,0.28,-0.25,0.04,0.19,0.11,2.93
20130912,-0.32,-0.29,-0.37,0.15,-0.16,2.92
20130913,0.29,0.28,-0.05,0.16,0.23,2.90
20130916,0.49,-0.4,0.4,-0.02,0.38,2.88
20130917,0.54,0.42,-0.13,-0.32,-0.19,2.86
20130918,1.1,-0.25,-0.47,0.01,-0.2,2.69
20130919,-0.13,0.09,-0.63,0.09,-0.29,2.76
20130920,-0.63,0.52,0.2,-0.1,-0.17,2.75
20130923,-0.45,0.42,-0.42,0.66,-0.21,2.72
20130924,-0.13,0.49,0.02,-0.1,-0.01,2.67
20130925,-0.23,0.09,0.58,-0.41,0.04,2.63
20130926,0.42,0.13,-0.72,0.16,-0.29,2.66
20130927,-0.39,-0.01,-0.02,0.05,-0.11,2.64
20130930,-0.49,0.52,0.01,0.13,0.01,2.64
20131001,0.9,0.38,-0.1,-0.12,-0.22,2.66
20131002,-0.1,-0.34,-0.07,-0.1,-0.08,2.63
