,Mkt-RF,SMB,HML,RMW,CMA,Rf
20141023,1.29,0.45,-0.43,-0.33,-0.03,2.30
20141024,0.66,-0.5,-0.12,-0.34,0.09,2.34
20141027,-0.17,0.07,-0.31,0.12,-0.01,2.32
20141028,1.37,1.56,0.03,-0.4,-0.19,2.35
20141029,-0.18,0,0.44,0.21,0.33,2.36
20141030,0.6,0.2,-0.52,-0.42,0.09,2.35
20141031,1.23,0.32,0.2,0.19,-0.01,2.36
20141103,-0.01,-0.3,-0.06,0.05,0.14,2.39
20141104,-0.35,-0.04,-0.2,0.13,0.03,2.32
20141105,0.48,-0.42,0.86,0.31,0.73,2.38
20141106,0.49,0.06,-0.46,0.11,-0.26,2.37
20141107,0.09,0.01,0.47,-0.21,0.06,2.35
20141110,0.33,0.15,-0.53,-0.29,-0.36,2.32
20141111,0.1,0,-0.26,0.11,-0.25,2.34
20141112,0.07,0.71,-0.28,0.19,0.06,2.32
20141113,-0.03,-0.9,-0.37,0.56,0,2.36
20141114,0.06,-0.15,0.17,-0.02,-0.12,2.34
20141117,-0.05,-0.94,0.25,0.01,0.21,2.31
20141118,0.51,0,-0.34,-0.14,0.01,2.30
20141119,-0.21,-0.87,-0.04,0.39,0.05,2.27
20141120,0.31,0.88,0.01,-0.04,-0.03,2.24
20141121,0.48,-0.37,-0.07,-0.08,0.04,2.18
20141124,0.4,0.92,-0.55,-0.21,-0.09,2.22
20141125,-0.09,0.04,-0.03,0.11,0.17,2.28
20141126,0.3,0.02,-0.49,-0.19,-0.17,2.29
20141128,-0.34,-1,-1.16,0.67,0.02,2.25
20141201,-0.89,-0.89,0.62,0.1,0.48,2.31
20141202,0.65,0.45,0.09,-0.49,0.04,2.26
20141203,0.46,0.45,0.32,-0.17,0.01,2.22
20141204,-0.17,-0.34,0.08,0.09,-0.12,2.18
20141205,0.25,0.57,0.25,-0.65,0.18,2.19
20141208,-0.82,-0.55,0.21,0.01,0.12,2.10
20141209,0.13,1.67,-0.1,-0.49,-0.36,2.12
20141210,-1.72,-0.62,-0.12,0.14,0.18,2.07
20141211,0.5,-0.05,-0.18,0.19,0.06,2.14
20141212,-1.55,0.46,-0.59,0.21,-0.29,2.22
20141215,-0.68,-0.24,0.08,0.71,0.11,2.17
20141216,-0.8,0.68,0.61,-0.13,0.39,2.17
20141217,2.15,0.9,-0.07,-0.47,-0.4,2.26
20141218,2.36,-0.91,-0.19,-0.42,-0.2,2.27
20141219,0.43,-0.24,0.23,-0.47,-0.02,2.25
20141222,0.37,0.21,-0.1,0.19,0.07,2.22
20141223,0.21,-0.14,1.11,0.59,0.54,2.20
20141224,0.07,0.34,-0.18,-0.11,-0.05,2.17
20141226,0.39,0.34,-0.31,-0.08,-0.15,2.12
20141229,0.13,0.21,0.58,0.19,0.16,2.04
20141230,-0.48,0.07,0.33,-0.05,0.31,1.97
20141231,-0.93,0.48,-0.4,-0.13,-0.19,1.96
20150102,-0.12,-0.57,0.08,-0.25,0.12,2.03
20150105,-1.84,0.25,-0.68,0.16,-0.08,1.98
20150106,-1.04,-0.78,-0.31,0.53,0.02,1.92
20150107,1.19,0.17,-0.66,0.25,-0.14,1.91
20150108,1.81,-0.1,-0.28,0.11,-0.16,1.86
20150109,-0.85,-0.02,-0.47,-0.12,-0.16,1.77
20150112,-0.79,0.35,-0.45,0.15,0.17,1.83
20150113,-0.19,0.25,0.01,0.43,0.02,1.82
20150114,-0.6,0.26,-0.51,0.19,-0.14,1.87
20150115,-1.08,-0.95,0.59,0.71,0.61,1.90
20150116,1.36,0.49,-0.13,-0.31,-0.1,1.81
20150120,0.11,-0.74,-0.51,0.03,-0.45,1.83
20150121,0.42,-0.92,0.58,0.2,-0.02,1.83
20150122,1.58,0.46,0.42,0.01,-0.1,1.73
20150123,-0.47,0.43,-0.77,-0.05,-0.53,1.77
20150126,0.43,0.58,-0.05,-0.42,-0.07,1.68
20150127,-1.21,0.73,0.19,-0.36,0.49,1.68
20150128,-1.39,-0.17,-0.81,0.52,-0.22,1.79
20150129,0.98,0.21,0.03,0.02,-0.35,1.81
20150130,-1.31,-0.84,0.05,-0.16,-0.45,1.83
20150202,1.24,-0.38,1,0.05,0.13,1.95
20150203,1.49,0.24,0.49,0.05,0.39,1.96
20150204,-0.35,-0.09,-0.23,0.33,-0.07,2.01
20150205,1.1,0.42,-0.08,-0.54,-0.2,2.00
20150206,-0.2,0.09,0.34,-0.18,-0.12,1.99
20150209,-0.46,-0.35,0.12,-0.03,-0.03,2.02
20150210,1.05,-0.36,-0.72,0.1,-0.38,2.14
20150211,0.03,-0.16,-0.34,0.08,-0.07,2.07
20150212,1,0.17,-0.06,-0.15,-0.29,2.11
20150213,0.47,0.14,-0.32,-0.3,-0.24,2.13
20150217,0.17,-0.02,-0.06,-0.18,-0.15,2.06
20150218,0.03,0.26,-0.81,0.29,-0.18,1.99
20150219,-0.01,0.21,-0.37,-0.05,-0.37,1.96
20150220,0.61,-0.44,-0.27,-0.07,-0.1,2.03
20150223,-0.08,0.04,-0.37,0.38,-0.22,2.00
20150224,0.32,0,0.72,-0.23,0.35,2.08
20150225,0.02,0.2,-0.49,-0.57,-0.2,2.12
20150226,-0.08,0.54,-0.49,-0.14,-0.32,2.12
20150227,-0.36,-0.22,0.2,0.06,0.28,2.11
20150302,0.62,0.19,-0.46,0.06,0.06,2.24
20150303,-0.43,-0.3,0.31,-0.08,0.04,2.20
20150304,-0.41,0.12,-0.38,-0.04,-0.26,2.14
20150305,0.15,0.22,-0.42,-0.51,-0.12,2.11
20150306,-1.29,0.3,0.43,-0.11,0.01,2.10
20150309,0.37,0.11,-0.02,0.29,-0.05,2.13
20150310,-1.63,0.43,-0.52,0.13,-0.14,2.10
20150311,-0.04,0.61,0.51,-0.48,-0.03,2.06
20150312,1.28,0.41,0.5,-0.07,0.21,1.93
20150313,-0.57,0.2,-0.04,-0.1,-0.11,1.98
20150316,1.23,-0.79,-0.37,-0.13,-0.11,1.93
20150317,-0.2,0.53,-0.02,-0.02,-0.25,1.92
20150318,1.08,-0.5,0.02,0.15,-0.02,1.88
20150319,-0.36,0.8,-1.12,0.09,-0.38,1.93
20150320,0.81,-0.11,0.56,0.44,0.22,2.01
20150323,-0.19,0.2,0.23,0.19,0.28,1.95
20150324,-0.51,0.54,-0.25,0.11,-0.22,1.96
20150325,-1.56,-0.9,1.03,0.37,0.45,1.94
20150326,-0.22,0.09,-0.04,0.02,-0.21,1.87
20150327,0.32,0.43,-0.71,-0.14,-0.13,1.92
20150330,1.24,0.06,0,-0.29,0.01,1.85
20150331,-0.75,0.44,0.38,0.17,0.2,1.92
20150401,-0.38,0.34,0.44,-0.17,0.24,1.89
20150402,0.35,-0.1,0.28,-0.12,0.23,1.92
20150406,0.61,-0.29,-0.11,0.21,-0.22,1.97
20150407,-0.22,-0.2,-0.18,-0.18,-0.23,1.96
20150408,0.37,0.46,-0.73,-0.04,-0.27,1.94
20150409,0.41,-0.73,-0.07,-0.25,0.14,1.90
20150410,0.49,-0.16,-0.29,-0.47,0.21,1.91
20150413,-0.38,0.55,0.24,-0.13,-0.09,1.90
20150414,0.1,-0.15,0.23,0.07,0.1,1.87
20150415,0.57,0.28,0.36,-0.21,-0.1,1.90
20150416,-0.08,-0.11,-0.21,-0.2,-0.19,1.92
20150417,-1.23,-0.42,0.16,0.16,0.07,1.99
20150420,0.95,0.15,-0.27,0.45,-0.31,1.96
20150421,-0.1,0.11,-0.73,0.11,-0.24,1.93
20150422,0.46,-0.4,0.18,-0.06,0.02,1.94
20150423,0.29,0.3,-0.25,-0.01,-0.25,2.00
20150424,0.17,-0.53,-0.31,0.83,-0.52,2.06
20150427,-0.54,-0.66,0.56,0.54,-0.08,2.05
20150428,0.27,0.24,1.06,0.06,0.4,2.12
20150429,-0.38,-0.73,0.74,-0.76,-0.03,2.16
20150430,-1.11,-1.02,0.73,0.25,0.42,2.19
20150501,1.01,-0.31,-0.6,0.25,-0.1,2.25
20150504,0.32,0.1,0.23,-0.15,0.02,2.18
20150505,-1.19,-0.15,0.52,-0.01,0.21,2.16
20150506,-0.31,0.6,-0.13,-0.25,0.14,2.28
20150507,0.39,0.01,-0.36,-0.25,0.08,2.28
20150508,1.21,-0.55,-0.12,-0.28,-0.22,2.27
20150511,-0.39,0.67,-0.03,-0.04,0.02,2.23
20150512,-0.27,0,0.11,-0.15,0,2.14
20150513,0.01,-0.01,0.04,-0.12,0.02,2.23
20150514,1.01,-0.15,-0.35,0.11,-0.39,2.27
20150515,0.05,-0.22,-0.21,0.25,0.27,2.26
20150518,0.44,0.73,-0.09,-0.19,-0.28,2.19
20150519,-0.09,-0.08,0.24,-0.11,-0.04,2.21
20150520,-0.05,0.19,-0.12,-0.15,0.04,2.14
20150521,0.23,-0.29,0.01,0.09,-0.14,2.14
20150522,-0.22,-0.13,-0.12,-0.12,-0.04,2.13
20150526,-1.01,-0.03,-0.02,-0.1,0.16,2.12
20150527,0.93,0.3,-0.31,-0.05,-0.29,2.19
20150528,-0.12,0.1,0.15,-0.23,0.09,2.27
20150529,-0.58,0.05,0.04,-0.25,0.01,2.38
20150601,0.17,-0.06,-0.22,0.24,-0.34,2.31
20150602,-0.02,0.32,0.35,-0.21,0.18,2.41
20150603,0.39,0.86,-0.25,-0.14,-0.07,2.39
20150604,-0.88,-0.08,0,0.2,-0.02,2.42
20150605,0.06,0.84,0.1,-0.54,-0.38,2.50
20150608,-0.66,0.05,0,0.06,0.03,2.39
20150609,0.02,-0.28,0.37,0.14,0.1,2.39
20150610,1.2,0.17,0.21,-0.03,0,2.36
20150611,0.21,-0.09,-0.1,0.16,0,2.32
20150612,-0.63,0.34,0.12,0.09,0.1,2.32
20150615,-0.45,0.16,-0.14,-0.21,-0.26,2.35
20150616,0.57,0.1,-0.01,0.12,-0.1,2.26
20150617,0.16,-0.32,-0.65,0.17,-0.05,2.37
20150618,0.99,0.17,-0.44,-0.15,-0.15,2.42
20150619,-0.43,0.52,-0.2,0.08,-0.05,2.38
20150622,0.63,0.1,-0.05,-0.16,-0.2,2.40
20150623,0.12,0.25,0.29,-0.1,0,2.49
20150624,-0.79,-0.14,0.13,0.16,-0.05,2.33
20150625,-0.25,0.34,-0.2,0.15,-0.08,2.35
20150626,-0.06,-0.18,0.41,0.32,0.28,2.43
20150629,-2.15,-0.42,0.17,0.32,0.09,2.40
20150630,0.34,0.28,-0.65,-0.31,-0.59,2.30
20150701,0.61,-0.76,-0.03,0.21,0.08,2.27
20150702,-0.11,-0.61,-0.1,-0.05,-0.02,2.22
20150706,-0.37,0.12,-0.55,-0.23,-0.15,2.32
20150707,0.53,-0.49,-0.3,0.44,0.03,2.42
20150708,-1.68,-0.02,0.09,0.16,0.07,2.44
20150709,0.29,0.15,0.02,-0.31,-0.28,2.41
20150710,1.24,0.19,-0.51,-0.22,-0.02,2.36
20150713,1.14,-0.1,-0.43,0.09,-0.2,2.36
20150714,0.47,0.15,0.1,-0.31,-0.25,2.34
20150715,-0.19,-0.8,-0.06,-0.22,-0.35,2.38
20150716,0.78,-0.24,-0.64,-0.26,-0.55,2.35
20150717,0.05,-0.65,-0.66,-0.25,-0.72,2.33
20150720,-0.01,-0.77,-0.6,0.37,-0.22,2.28
20150721,-0.47,0.06,0.3,-0.18,-0.01,2.27
20150722,-0.18,0.25,0.23,-0.37,0.02,2.23
20150723,-0.6,-0.42,-0.31,-0.07,0.03,2.26
20150724,-1.08,-0.69,0.05,-0.05,-0.08,2.29
20150727,-0.74,-0.26,0.07,0.1,0.3,2.28
20150728,1.23,-0.36,-0.13,0,0.16,2.20
20150729,0.74,-0.26,0.53,0.95,0.25,2.16
20150730,0.12,0.17,-0.28,0.15,-0.21,2.23
20150731,-0.15,0.74,-1.01,0.24,-0.08,2.28
20150803,-0.34,-0.33,-0.21,0.08,0.05,2.23
20150804,-0.14,-0.02,-0.13,-0.03,0.23,2.18
20150805,0.36,-0.09,-0.41,-0.02,-0.01,2.24
20150806,-0.88,-0.35,1.93,0.36,0.7,2.15
20150807,-0.36,-0.45,-0.3,0.27,0.09,2.14
20150810,1.31,0.19,0.7,0.18,-0.01,2.19
20150811,-0.98,-0.08,0.43,0.14,0.05,2.20
20150812,0.07,-0.18,-0.32,-0.12,-0.08,2.16
20150813,-0.14,-0.44,0.07,0.13,-0.08,2.20
20150814,0.43,0.14,0.44,-0.08,0.01,2.12
20150817,0.6,0.36,-0.87,-0.22,-0.36,2.09
20150818,-0.35,-0.61,0.38,0.36,0.04,2.05
20150819,-0.85,-0.21,-0.22,-0.11,-0.04,2.01
20150820,-2.24,-0.23,0.58,0.63,0.54,2.12
20150821,-2.95,1.8,0.14,-0.73,0.73,2.18
20150824,-3.9,0.28,-0.42,0.46,0.1,2.18
20150825,-1.17,0.59,-0.6,-0.3,-0.56,2.19
20150826,3.68,-1.41,-0.34,0.15,-0.58,2.21
20150827,2.4,-0.64,0.6,-0.29,-0.14,2.17
20150828,0.23,1,0.08,-0.26,0.08,2.20
20150831,-0.74,0.9,1.42,0.11,0.46,2.18
20150901,-2.91,0.23,-0.5,-0.04,0.07,2.13
20150902,1.81,-0.28,-0.92,0.18,-0.61,2.20
20150903,0.17,-0.2,0.75,0.34,0.67,2.21
20150904,-1.39,0.84,-0.57,-0.08,-0.4,2.23
20150908,2.52,-0.39,-0.57,-0.09,-0.3,2.20
20150909,-1.34,0.18,0.13,0.22,0.01,2.18
20150910,0.49,-0.18,-0.35,-0.22,-0.61,2.28
20150911,0.44,-0.28,-0.69,-0.1,-0.32,2.30
20150914,-0.41,0.03,0.03,-0.02,-0.04,2.21
20150915,1.22,-0.16,0.28,0,0.11,2.13
20150916,0.84,0.04,0.44,0.32,0.19,2.20
20150917,-0.17,0.79,-1.5,-0.28,-0.32,2.14
20150918,-1.62,0.29,-0.96,-0.44,-0.45,2.16
20150921,0.36,-0.84,1.24,0.5,0.12,2.13
20150922,-1.29,-0.3,0.14,0.31,0.09,2.17
20150923,-0.27,-0.21,-0.16,-0.18,-0.27,2.10
20150924,-0.36,0.27,0.52,-0.07,0.03,2.05
20150925,-0.22,-1.47,1.88,0.54,0.48,2.06
20150928,-2.63,-0.22,1.15,0.68,0.53,2.05
20150929,-0.07,-0.62,0.69,0.73,0.46,1.99
20150930,1.88,-0.48,-0.44,-0.46,-0.32,2.07
20151001,0.13,-0.52,-0.06,-0.14,-0.15,2.05
20151002,1.48,0.25,-0.84,-0.13,0.04,2.08
20151005,1.93,0.74,0.77,0.11,0.6,2.12
20151006,-0.43,-0.09,1.65,0.34,0.55,2.12
20151007,0.94,0.78,-0.24,-0.13,0.1,2.06
20151008,0.84,0.34,0.74,0.53,0.69,1.99
20151009,0.12,0.1,-1.07,0.12,-0.11,2.04
20151012,0.06,-0.45,-0.08,0.1,-0.18,2.04
20151013,-0.74,-0.67,0.67,0.33,0.16,2.04
20151014,-0.6,-0.28,-0.06,-0.44,0.38,2.08
20151015,1.56,0.62,-0.09,-1.08,-0.36,2.04
20151016,0.36,-0.53,-0.32,0.04,0.06,2.04
20151019,0,0.1,-0.68,0.16,-0.31,2.09
20151020,-0.15,0.15,1.22,0.47,0.14,2.07
20151021,-0.74,-0.9,-0.2,0.44,0.16,2.05
20151022,1.5,-0.77,0.32,0.03,0.52,2.10
20151023,1.09,-0.03,-0.56,0.25,-0.66,2.19
20151026,-0.2,-0.45,-0.73,0.22,-0.12,2.16
20151027,-0.42,-1.06,-0.93,-0.41,-0.51,2.20
20151028,1.43,1.5,0.69,-0.71,-0.15,2.23
20151029,-0.2,-0.84,-0.05,0.33,-0.28,2.25
20151030,-0.42,0.17,-0.56,0.35,0.1,2.26
20151102,1.25,0.9,-0.02,-0.54,0.04,2.34
20151103,0.32,0.43,0.24,0.04,-0.12,2.36
20151104,-0.26,0.17,-0.32,-0.62,-0.7,2.32
20151105,-0.08,0.05,0.49,0.01,0.17,2.32
20151106,0.14,0.93,0.33,-0.51,-0.13,2.28
20151109,-0.95,-0.31,-0.04,-0.65,-0.06,2.27
20151110,0.13,-0.01,0.22,-0.15,0.22,2.25
20151111,-0.43,-0.54,-0.18,-0.08,0.1,2.27
20151112,-1.45,-0.59,-0.4,0.15,-0.27,2.24
20151113,-1.07,0.33,0.37,-0.57,0.4,2.26
20151116,1.39,-0.55,0.48,0.19,-0.18,2.25
20151117,-0.11,-0.23,-0.65,0.01,-0.16,2.24
20151118,1.61,-0.01,-0.08,-0.11,-0.32,2.23
20151119,-0.13,-0.27,-0.16,0.2,0.08,2.22
20151120,0.36,0.4,-0.39,0.29,0.04,2.21
20151123,-0.01,0.6,-0.35,0.08,-0.15,2.15
20151124,0.21,0.74,0.25,0.17,0.14,2.18
20151125,0.09,0.85,-0.54,-0.1,-0.07,2.33
20151127,0.09,0.22,-0.29,-0.16,0.08,2.28
20151130,-0.47,0.19,0.67,-0.24,0.04,2.23
20151201,0.97,-0.63,0.25,-0.08,-0.11,2.24
20151202,-1.01,0.19,-0.71,0.04,-0.08,2.22
20151203,-1.5,-0.18,0.4,0.32,0.26,2.24
20151204,1.87,-1.04,-0.48,0.15,-0.34,2.13
20151207,-0.83,-0.89,-0.68,0.69,0.1,2.23
20151208,-0.59,0.26,-1.21,-0.17,-0.65,2.28
20151209,-0.83,-0.23,0.4,0.51,0.56,2.30
20151210,0.3,0.1,-0.23,0.14,-0.16,2.24
20151211,-2.03,-0.21,-0.06,0.2,0.29,2.19
20151214,0.29,-1.11,-0.17,0.11,-0.4,2.20
20151215,1.1,0.19,0.79,-0.76,0,2.24
20151216,1.47,0.01,-0.69,-0.13,-0.11,2.27
20151217,-1.46,0.32,-0.36,-0.22,-0.02,2.25
20151218,-1.7,0.69,-0.37,-0.29,0.24,2.24
20151221,0.74,-0.18,-0.07,-0.15,0.09,2.32
20151222,0.89,0,0.52,0.2,0.45,2.31
20151223,1.29,0.22,0.57,-0.01,0.17,2.27
20151224,-0.11,0.26,-0.02,-0.21,0.12,2.24
20151228,-0.28,-0.53,-0.37,0.09,-0.07,2.25
20151229,1.05,0.03,-0.28,0.01,-0.31,2.18
20151230,-0.74,-0.17,-0.15,0.06,0.18,2.16
20151231,-0.92,-0.23,0.23,-0.11,0.09,2.13
20160104,-1.59,-0.76,0.52,0.35,0.42,2.17
20160105,0.12,-0.24,0.01,0.05,0.31,2.12
20160106,-1.35,-0.23,0,0.15,0.03,2.08
20160107,-2.44,-0.29,0.08,0.49,0.36,2.10
20160108,-1.11,-0.52,-0.03,0.25,0.05,2.03
20160111,-0.06,-0.61,0.4,0.65,0.34,2.06
20160112,0.72,-0.48,-0.77,-0.09,-0.39,2.01
20160113,-2.67,-0.62,0.81,0.4,0.63,2.02
20160114,1.65,-0.05,-0.4,-0.58,-0.43,2.07
20160115,-2.14,0.4,-0.24,0.37,0.45,2.03
20160119,-0.19,-1.38,-0.06,0.34,0.22,2.01
20160120,-0.94,1.73,-1.27,0.08,-0.52,2.02
20160121,0.45,-0.49,-0.02,0.49,0.64,2.00
20160122,2.08,0.13,-0.2,-0.52,-0.64,1.94
20160125,-1.71,-0.53,-0.99,0.33,-0.01,1.97
20160126,1.52,0.62,1.18,0.66,0.63,1.87
20160127,-1.11,-0.42,1.71,-0.13,0.92,1.88
20160128,0.49,-0.55,1.26,-0.3,-0.44,1.87
20160129,2.57,0.6,0.43,0.01,0.41,1.86
20160201,-0.04,-0.3,-1,0.06,-0.35,1.75
20160202,-2,-0.15,-0.37,0.28,0.4,1.74
20160203,0.46,-0.25,0.47,0.41,0.32,1.71
20160204,0.27,0.3,0.35,0.24,0,1.63
20160205,-2.06,-0.74,1.64,1.06,1.19,1.74
20160208,-1.51,0.13,0.83,1.69,0.87,1.78
20160209,-0.09,-0.54,-0.28,-0.01,0.06,1.81
20160210,0.01,-0.21,-0.55,-0.3,-0.69,1.75
20160211,-1.17,0.3,-1.48,0.37,-0.26,1.76
20160212,1.99,-0.27,1.1,-0.4,0.19,1.77
20160216,1.78,0.52,-0.53,-0.01,-0.25,1.74
20160217,1.75,-0.13,-0.65,-0.43,-0.37,1.75
20160218,-0.51,-0.03,0.22,0.41,0.48,1.71
20160219,0.06,0.27,-0.58,-0.65,-0.39,1.76
20160222,1.43,-0.18,0.26,0.25,-0.26,1.74
20160223,-1.22,0.36,-0.51,0.74,0.51,1.83
20160224,0.53,0.66,-0.3,-0.04,0.16,1.84
20160225,1.1,-0.44,0.23,-0.07,-0.24,1.83
20160226,-0.01,0.86,0.29,-0.56,-0.04,1.88
20160229,-0.69,0.72,0.25,0.13,0.53,1.91
20160301,2.34,-0.65,0.39,-0.58,-0.61,1.83
20160302,0.54,0.6,0.68,-0.7,-0.07,1.90
20160303,0.5,0.57,0.66,0.28,0.32,1.93
20160304,0.37,0.33,0.29,0.1,0.07,1.98
20160307,0.21,1.3,0.55,-0.49,0.42,1.97
20160308,-1.27,-1.28,-0.48,0.67,0.15,1.97
20160309,0.5,0.1,0.41,0.22,0.18,1.94
20160310,-0.11,-0.77,0.62,0.32,0.2,1.91
20160311,1.69,0.31,0.23,-0.41,-0.43,1.88
20160314,-0.12,-0.16,-0.9,-0.02,-0.18,1.92
20160315,-0.36,-1.47,0.69,0.46,0.02,1.94
20160316,0.63,0.12,-0.1,0.59,-0.03,1.88
20160317,0.72,0.96,0.59,0.11,0.62,1.91
20160318,0.54,0.43,-0.15,-0.22,0.09,1.89
20160321,0.1,-0.28,-0.32,-0.1,-0.31,1.81
20160322,-0.05,-0.09,-0.44,-0.33,-0.2,1.83
20160323,-0.86,-1.19,-0.15,0.7,0.03,1.78
20160324,0,0.45,-0.07,0.06,0.06,1.79
20160328,0.04,-0.04,0.16,-0.06,0.22,1.78
20160329,1.07,1.69,-1.2,0.18,-0.44,1.73
20160330,0.41,-0.26,0.16,-0.06,-0.01,1.76
20160331,-0.11,0.42,-0.48,-0.11,-0.07,1.70
20160401,0.64,-0.32,-0.62,-0.39,-0.1,1.72
20160404,-0.41,-0.31,-0.8,-0.24,-0.16,1.73
20160405,-0.94,-0.18,-0.38,0.08,0.25,1.79
20160406,1.14,0.1,-0.76,-0.55,-0.53,1.77
20160407,-1.23,-0.09,-0.38,-0.02,0.26,1.80
20160408,0.29,0.13,0.68,0.38,0.24,1.76
20160411,-0.28,-0.01,0.96,0.01,0.24,1.78
20160412,0.99,0.01,0.87,0.04,-0.12,1.79
20160413,1.23,0.98,0.38,-0.47,-0.41,1.85
20160414,0.03,-0.24,0.14,-0.35,-0.06,1.88
20160415,-0.04,0.31,-0.34,0.23,0.21,1.89
20160418,0.65,0.14,-0.19,-0.17,-0.07,1.91
20160419,0.29,-0.2,1.48,-0.2,0.28,1.94
20160420,0.15,0,0.58,-0.27,-0.17,1.87
20160421,-0.47,0,-0.6,-0.61,-0.27,1.84
20160422,0.12,1,0.52,-0.08,0.83,1.83
20160425,-0.24,-0.64,-0.17,0.1,-0.08,1.88
20160426,0.29,0.81,0.8,0.31,0.49,1.81
20160427,0.21,0.16,0.69,-0.2,0.66,1.79
20160428,-0.96,-0.19,-0.01,-0.5,0.53,1.76
20160429,-0.5,-0.22,0.38,0.02,-0.19,1.79
20160502,0.79,0,-0.38,0.03,-0.1,1.77
20160503,-1.05,-0.74,-0.45,0.53,0.04,1.77
20160504,-0.66,-0.15,0.04,0.5,0.33,1.73
20160505,-0.08,-0.53,0.06,0.11,-0.05,1.75
20160506,0.38,0.07,0.24,0.18,0.29,1.71
20160509,0.05,0.22,-1.47,0.14,-0.4,1.75
20160510,1.26,-0.37,0.5,-0.15,0.02,1.76
20160511,-0.89,-0.32,0.8,-0.39,0.03,1.87
20160512,-0.11,-0.62,0.14,0.36,0.02,1.85
20160513,-0.82,0.31,-0.68,-0.55,-0.11,1.85
20160516,0.99,0.21,-0.23,-0.09,-0.26,1.84
20160517,-0.95,-0.71,0.61,-0.13,-0.11,1.86
20160518,0.1,0.18,0.9,-1.3,-0.65,1.87
20160519,-0.33,-0.33,-0.26,0.36,0.04,1.83
20160520,0.75,0.85,-0.27,-0.4,-0.4,1.85
20160523,-0.18,0.24,-0.32,-0.24,0.14,1.84
20160524,1.43,0.64,-0.35,-0.1,-0.4,1.85
20160525,0.72,-0.12,0.56,0.24,-0.15,1.81
20160526,-0.04,-0.16,-0.54,0.15,-0.2,1.71
20160527,0.49,0.36,-0.17,-0.11,-0.1,1.73
20160531,-0.01,0.47,-0.37,-0.21,-0.29,1.72
20160601,0.2,0.63,-0.2,-0.29,0.02,1.71
20160602,0.35,0.26,-0.58,-0.21,0.05,1.68
20160603,-0.38,-0.21,-0.07,0.51,0.16,1.64
20160606,0.6,0.72,0.31,-0.17,-0.12,1.62
20160607,0.12,0.2,0.1,0.35,0.23,1.62
20160608,0.37,0.43,-0.09,0.02,-0.1,1.60
20160609,-0.27,-0.44,-0.24,0.32,0.16,1.57
20160610,-1.05,-0.38,-0.18,0.18,0.57,1.62
20160613,-0.83,-0.36,0.12,-0.24,-0.06,1.67
20160614,-0.19,0.13,-0.72,0.29,0.09,1.71
20160615,-0.11,0.24,-0.03,-0.08,0.09,1.69
20160616,0.24,-0.32,-0.45,0.25,0.33,1.74
20160617,-0.3,0.06,0.95,0.42,0.48,1.57
20160620,0.71,0.6,0.02,-0.19,0.09,1.46
20160621,0.21,-0.62,0.5,-0.19,-0.03,1.46
20160622,-0.2,-0.31,0.08,0.07,-0.03,1.50
20160623,1.45,0.56,0.47,-0.56,-0.24,1.49
20160624,-3.7,0.02,-1.22,0.98,0.19,1.46
20160627,-2.07,-1.08,-0.72,0.58,0.45,1.37
20160628,1.76,-0.36,0.16,-0.62,-0.52,1.38
20160629,1.8,0.31,-0.03,-0.12,-0.32,1.40
20160630,1.42,0.38,0.42,-0.1,0.3,1.37
20160701,0.24,0.47,-0.43,-0.07,0.27,1.43
20160705,-0.85,-0.84,-1.37,0.61,-0.71,1.53
20160706,0.62,0.18,-0.13,-0.05,-0.17,1.48
20160707,0.02,0.32,-0.18,0.13,-0.28,1.53
20160708,1.6,0.98,0.32,0.02,0.29,1.60
20160711,0.43,0.68,0.27,0.32,-0.08,1.59
20160712,0.75,0.75,0.99,-0.59,0.67,1.56
20160713,-0.05,-0.47,0.49,0.51,-0.02,1.59
20160714,0.51,-0.42,0.45,-0.02,0.04,1.57
20160715,-0.05,0.29,0,-0.29,0,1.57
20160718,0.25,0.01,-0.15,0.05,-0.2,1.58
20160719,-0.22,-0.64,0.04,0.46,-0.24,1.57
20160720,0.48,0.39,-0.89,-0.05,-0.35,1.52
20160721,-0.38,-0.05,-0.04,0.16,0.03,1.52
20160722,0.48,0.28,-0.13,0.4,-0.28,1.46
20160725,-0.27,-0.05,-0.23,0.44,-0.39,1.51
20160726,0.13,0.61,0.54,-0.54,0.71,1.55
20160727,-0.14,0.5,-0.43,-0.15,-0.56,1.55
20160728,0.18,-0.53,-0.33,-0.1,-0.15,1.51
20160729,0.17,-0.05,0.01,-0.02,0.35,1.59
20160801,-0.16,0.06,-0.9,0.47,-0.74,1.59
20160802,-0.7,-0.61,0.18,-0.42,0.17,1.55
20160803,0.45,0.61,0.81,-0.72,0.17,1.50
20160804,0.05,0.07,-0.39,0.17,0.07,1.57
20160805,0.93,0.55,0.99,-0.58,-0.34,1.51
20160808,-0.06,0.11,0.5,0.06,0.46,1.55
20160809,0.05,-0.07,-0.27,-0.21,-0.23,1.57
20160810,-0.29,-0.47,-0.18,0.62,0,1.56
20160811,0.54,0.14,0.03,-0.32,0.21,1.53
20160812,-0.06,0.14,-0.17,-0.14,-0.28,1.58
20160815,0.39,0.82,0.39,-0.28,0.4,1.55
20160816,-0.57,-0.2,0.59,-0.09,0.33,1.55
20160817,0.12,-0.51,0.26,0.02,0.05,1.56
20160818,0.32,0.49,0.34,-0.47,0.37,1.58
20160819,-0.11,0.07,-0.14,0.22,-0.14,1.62
